pol        seed |      rew      cap     step      mdl     wait     comp      nsv |   pku    pkr obs  obsr   pkv   pkvr    mwt   cmp    cmr   anp   anpr     mtt   pnc    pncr |   noop  overld  mcand  cne_fr cne_mn   dstep    macmr    msd
100         200 |     5.50     0.00     0.00    -2.57    -2.94    11.00     0.00 | 13/19   0.68  9   0.47  3/13   0.23  170.54 11/19   0.58  0/19   0.00  345.00  2/13   0.15 |   0.760  0.450   0.52  0.314   1.67     12    0.275     20
101         300 |     8.73     0.00     0.00    -2.10    -2.17    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  114.62 13/17   0.76  0/17   0.00  308.54  0/13   0.00 |   0.800  0.550   0.42  0.257   1.63     12    0.437     20
102         400 |     6.29     0.00     0.00    -2.60    -3.11    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  161.25 12/18   0.67  0/18   0.00  262.83  0/12   0.00 |   0.744  0.611   0.61  0.347   1.76     11    0.349     18
103         500 |     5.27     0.00     0.00    -2.63    -3.10    11.00     0.00 | 11/19   0.58  9   0.47  1/11   0.09  177.73 11/19   0.58  2/19   0.11  234.55  0/11   0.00 |   0.713  0.625   0.84  0.447   1.87     12    0.329     16
104         600 |     7.31     0.00     0.00    -1.57    -3.13    12.00     0.00 | 12/18   0.67  6   0.33  0/12   0.00  104.25 12/18   0.67  0/18   0.00  297.17  0/12   0.00 |   0.741  0.529   0.59  0.333   1.77     10    0.430     17
105         700 |     5.67     0.00     0.00    -3.60    -2.73    12.00     0.00 | 12/18   0.67 10   0.56  4/12   0.33  190.25 12/18   0.67  2/18   0.11  278.00  0/12   0.00 |   0.671  0.647   0.76  0.411   1.84     12    0.333     17
106         800 |     4.91     0.00     0.00    -3.13    -2.96    11.00     0.00 | 13/19   0.68  9   0.47  3/13   0.23  192.77 11/19   0.58  0/19   0.00  289.18  2/13   0.15 |   0.740  0.600   0.70  0.352   1.97     12    0.245     20
107         900 |     5.82     0.00     0.00    -3.05    -3.13    12.00     0.00 | 14/18   0.78  7   0.39  4/14   0.29  181.93 12/18   0.67  2/18   0.11  241.00  2/14   0.14 |   0.680  0.600   0.71  0.362   1.97     12    0.291     20
108        1000 |     7.06     0.00     0.00    -2.00    -3.94    13.00     0.00 | 13/17   0.76  5   0.29  2/13   0.15  151.23 13/17   0.76  0/17   0.00  237.62  0/13   0.00 |   0.647  0.647   0.74  0.411   1.81     11    0.415     17
109         100 |     4.49     0.00     0.00    -2.57    -2.94    10.00     0.00 | 12/20   0.60  9   0.45  1/12   0.08  139.67 10/20   0.50  0/20   0.00  249.40  2/12   0.17 |   0.740  0.450   0.65  0.352   1.84     10    0.225     20
110         200 |     6.00     0.00     0.00    -3.02    -2.99    12.00     0.00 | 12/18   0.67  8   0.44  3/12   0.25  144.33 12/18   0.67  0/18   0.00  224.75  0/12   0.00 |   0.647  0.588   0.87  0.467   1.86     12    0.353     17
111         300 |     4.77     0.00     0.00    -4.13    -2.10    11.00     0.00 | 11/19   0.58 12   0.63  4/11   0.36  227.73 11/19   0.58  4/19   0.21  206.82  0/11   0.00 |   0.678  0.667   0.92  0.463   1.98     12    0.265     18
112         400 |     7.18     0.00     0.00    -4.13    -1.69    13.00     0.00 | 13/17   0.76 10   0.59  6/13   0.46  238.77 13/17   0.76  4/17   0.24  281.46  0/13   0.00 |   0.710  0.550   0.70  0.343   2.03     12    0.359     20
113         500 |     7.80     0.00     0.00    -1.57    -3.63    13.00     0.00 | 13/17   0.76  5   0.29  1/13   0.08  143.31 13/17   0.76  0/17   0.00  231.15  0/13   0.00 |   0.600  0.706   0.83  0.456   1.83     12    0.459     17
114         600 |     7.76     0.00     0.00    -2.72    -3.52    14.00     0.00 | 14/16   0.88  5   0.31  3/14   0.21  181.21 14/16   0.88  2/16   0.12  344.79  0/14   0.00 |   0.726  0.632   0.60  0.340   1.76     12    0.409     19
115         700 |     5.79     0.00     0.00    -3.25    -2.96    12.00     0.00 | 12/18   0.67  9   0.50  4/12   0.33  196.33 12/18   0.67  0/18   0.00  264.42  0/12   0.00 |   0.674  0.632   0.72  0.400   1.80     12    0.305     19
116         800 |     5.37     0.00     0.00    -3.10    -2.54    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  156.00 11/19   0.58  2/19   0.11  314.82  0/11   0.00 |   0.678  0.611   0.57  0.347   1.64     11    0.298     18
117         900 |     3.80     0.00     0.00    -3.67    -2.53    10.00     0.00 | 12/20   0.60 12   0.60  4/12   0.33  257.50 10/20   0.50  4/20   0.20  218.20  2/12   0.17 |   0.650  0.550   0.83  0.390   2.12     12    0.190     20
118        1000 |     7.33     0.00     0.00    -2.45    -3.22    13.00     0.00 | 13/17   0.76  6   0.35  3/13   0.23  165.92 13/17   0.76  0/17   0.00  225.85  0/13   0.00 |   0.684  0.632   0.64  0.370   1.73     12    0.386     19
119         100 |     6.92     0.00     0.00    -3.63    -1.45    12.00     0.00 | 14/18   0.78 10   0.56  6/14   0.43  186.50 12/18   0.67  4/18   0.22  297.67  2/14   0.14 |   0.750  0.500   0.58  0.314   1.85     12    0.346     20
120         200 |     5.46     0.00     0.00    -4.13    -1.40    11.00     0.00 | 13/19   0.68 12   0.63  6/13   0.46  192.92 11/19   0.58  0/19   0.00  258.64  2/13   0.15 |   0.700  0.600   0.71  0.371   1.92     12    0.273     20
121         300 |     7.45     0.00     0.00    -2.60    -2.95    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  157.54 13/17   0.76  2/17   0.12  254.23  0/13   0.00 |   0.680  0.600   0.64  0.333   1.91     12    0.373     20
122         400 |     5.10     0.00     0.00    -3.02    -3.88    12.00     0.00 | 12/18   0.67  8   0.44  3/12   0.25  191.83 12/18   0.67  0/18   0.00  286.00  0/12   0.00 |   0.633  0.667   0.84  0.421   2.00     12    0.284     18
123         500 |     7.59     0.00     0.00    -1.98    -3.43    13.00     0.00 | 13/17   0.76  5   0.29  2/13   0.15  128.77 13/17   0.76  0/17   0.00  319.15  0/13   0.00 |   0.778  0.611   0.49  0.274   1.81     11    0.421     18
124         600 |     6.06     0.00     0.00    -3.60    -2.34    12.00     0.00 | 12/18   0.67 10   0.56  4/12   0.33  203.00 12/18   0.67  0/18   0.00  269.08  0/12   0.00 |   0.674  0.632   0.69  0.360   1.92     12    0.319     19
125         700 |     4.79     0.00     0.00    -3.63    -3.57    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  195.50 12/18   0.67  0/18   0.00  291.00  0/12   0.00 |   0.710  0.600   0.78  0.371   2.10     12    0.240     20
126         800 |     5.23     0.00     0.00    -3.07    -2.70    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  184.09 11/19   0.58  2/19   0.11  283.73  0/11   0.00 |   0.710  0.550   0.62  0.352   1.76     11    0.262     20
127         900 |     6.21     0.00     0.00    -2.60    -3.19    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  164.42 12/18   0.67  2/18   0.11  265.50  0/12   0.00 |   0.637  0.625   0.82  0.412   2.00     10    0.388     16
128        1000 |     7.96     0.00     0.00    -2.07    -2.97    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  175.38 13/17   0.76  4/17   0.24  297.77  0/13   0.00 |   0.747  0.579   0.60  0.320   1.88     11    0.419     19
129         100 |     6.37     0.00     0.00    -3.03    -2.59    12.00     0.00 | 12/18   0.67  8   0.44  3/12   0.25  146.92 12/18   0.67  2/18   0.11  244.92  0/12   0.00 |   0.667  0.611   0.62  0.358   1.74     11    0.354     18
130         200 |     2.74     0.00     0.00    -5.13    -4.13    12.00     0.00 | 14/18   0.78  7   0.39  3/14   0.21  185.71 12/18   0.67  2/18   0.11  222.83  2/14   0.14 |   0.670  0.600   0.69  0.400   1.71     12    0.137     20
131         300 |     7.98     0.00     0.00    -1.03    -3.99    13.00     0.00 | 13/17   0.76  4   0.24  0/13   0.00  122.62 13/17   0.76  0/17   0.00  269.85  0/13   0.00 |   0.653  0.600   0.69  0.375   1.83     10    0.532     15
132         400 |     4.95     0.00     0.00    -3.10    -2.95    11.00     0.00 | 13/19   0.68  9   0.47  3/13   0.23  184.62 11/19   0.58  0/19   0.00  305.55  2/13   0.15 |   0.750  0.600   0.58  0.324   1.79     12    0.247     20
133         500 |     5.89     0.00     0.00    -2.88    -3.22    12.00     0.00 | 12/18   0.67  8   0.44  3/12   0.25  174.00 12/18   0.67  2/18   0.11  280.50  0/12   0.00 |   0.671  0.647   0.69  0.389   1.77     11    0.347     17
134         600 |     5.26     0.00     0.00    -4.33    -2.41    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  197.75 12/18   0.67  4/18   0.22  284.58  0/12   0.00 |   0.720  0.600   0.69  0.333   2.06     12    0.263     20
135         700 |     4.64     0.00     0.00    -3.13    -3.23    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  201.73 11/19   0.58  4/19   0.21  284.27  0/11   0.00 |   0.600  0.667   0.89  0.442   2.02     12    0.258     18
136         800 |     7.24     0.00     0.00    -2.60    -3.16    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  169.31 13/17   0.76  2/17   0.12  282.85  0/13   0.00 |   0.656  0.667   0.75  0.421   1.77     12    0.402     18
137         900 |     6.02     0.00     0.00    -3.03    -2.94    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  199.42 12/18   0.67  2/18   0.11  279.25  0/12   0.00 |   0.578  0.667   0.83  0.442   1.88     12    0.335     18
138        1000 |     5.56     0.00     0.00    -2.10    -3.34    11.00     0.00 | 13/19   0.68  8   0.42  2/13   0.15  185.85 11/19   0.58  0/19   0.00  289.27  2/13   0.15 |   0.760  0.500   0.54  0.286   1.90     10    0.278     20
139         100 |     5.44     0.00     0.00    -2.63    -2.92    11.00     0.00 | 11/19   0.58  9   0.47  1/11   0.09  150.73 11/19   0.58  4/19   0.21  287.82  0/11   0.00 |   0.744  0.556   0.59  0.358   1.65     11    0.302     18
140         200 |     5.52     0.00     0.00    -3.18    -3.30    12.00     0.00 | 12/18   0.67  9   0.50  4/12   0.33  207.92 12/18   0.67  2/18   0.11  280.25  0/12   0.00 |   0.656  0.556   0.79  0.442   1.79     12    0.306     18
141         300 |     6.97     0.00     0.00    -2.60    -2.43    12.00     0.00 | 14/18   0.78  8   0.44  4/14   0.29  189.14 12/18   0.67  0/18   0.00  308.25  2/14   0.14 |   0.730  0.550   0.52  0.324   1.62     12    0.348     20
142         400 |     7.39     0.00     0.00    -2.57    -3.04    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  173.15 13/17   0.76  0/17   0.00  220.85  0/13   0.00 |   0.730  0.500   0.62  0.305   2.03     10    0.370     20
143         500 |     8.61     0.00     0.00    -3.10    -2.29    14.00     0.00 | 14/16   0.88  7   0.44  5/14   0.36  177.93 14/16   0.88  2/16   0.12  272.14  0/14   0.00 |   0.684  0.579   0.71  0.360   1.97     11    0.453     19
144         600 |     8.57     0.00     0.00    -1.92    -3.51    14.00     0.00 | 14/16   0.88  4   0.25  3/14   0.21  158.21 14/16   0.88  2/16   0.12  260.71  0/14   0.00 |   0.675  0.688   0.75  0.376   2.00     12    0.536     16
145         700 |     5.87     0.00     0.00    -3.10    -2.04    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  130.73 11/19   0.58  0/19   0.00  273.55  0/11   0.00 |   0.756  0.556   0.55  0.316   1.73     11    0.326     18
146         800 |     8.49     0.00     0.00    -1.57    -2.95    13.00     0.00 | 13/17   0.76  5   0.29  1/13   0.08  119.15 13/17   0.76  0/17   0.00  257.54  0/13   0.00 |   0.684  0.632   0.61  0.380   1.61     12    0.447     19
147         900 |     8.12     0.00     0.00    -2.07    -2.81    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  133.92 13/17   0.76  0/17   0.00  278.31  0/13   0.00 |   0.694  0.588   0.58  0.333   1.73     11    0.478     17
148        1000 |     4.91     0.00     0.00    -5.03    -2.05    12.00     0.00 | 12/18   0.67 10   0.56  4/12   0.33  214.83 12/18   0.67  4/18   0.22  270.67  0/12   0.00 |   0.670  0.600   0.77  0.381   2.02     12    0.246     20
149         100 |     5.37     0.00     0.00    -3.13    -2.50    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  183.45 11/19   0.58  6/19   0.32  283.82  0/11   0.00 |   0.588  0.688   0.92  0.447   2.05     11    0.336     16
150         200 |     6.71     0.00     0.00    -3.63    -2.66    13.00     0.00 | 13/17   0.76  9   0.53  5/13   0.38  243.08 13/17   0.76  0/17   0.00  282.38  0/13   0.00 |   0.700  0.550   0.81  0.371   2.18     11    0.335     20
151         300 |     6.10     0.00     0.00    -2.58    -3.32    12.00     0.00 | 12/18   0.67  7   0.39  2/12   0.17  138.83 12/18   0.67  0/18   0.00  308.00  0/12   0.00 |   0.718  0.647   0.68  0.367   1.85     12    0.359     17
152         400 |     6.83     0.00     0.00    -1.57    -3.61    12.00     0.00 | 12/18   0.67  6   0.33  0/12   0.00  120.17 12/18   0.67  0/18   0.00  289.33  0/12   0.00 |   0.667  0.667   0.57  0.350   1.64     10    0.455     15
153         500 |     7.31     0.00     0.00    -3.07    -2.62    13.00     0.00 | 13/17   0.76  8   0.47  4/13   0.31  181.00 13/17   0.76  2/17   0.12  245.77  0/13   0.00 |   0.660  0.600   0.77  0.400   1.93     12    0.366     20
154         600 |     8.38     0.00     0.00    -2.10    -2.52    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  129.00 13/17   0.76  4/17   0.24  305.54  0/13   0.00 |   0.705  0.526   0.50  0.310   1.61     11    0.441     19
155         700 |     5.02     0.00     0.00    -4.17    -1.81    11.00     0.00 | 11/19   0.58 12   0.63  4/11   0.36  209.36 11/19   0.58  2/19   0.11  266.73  0/11   0.00 |   0.690  0.600   0.73  0.410   1.79     12    0.251     20
156         800 |     5.80     0.00     0.00    -3.28    -2.92    12.00     0.00 | 12/18   0.67  9   0.50  4/12   0.33  191.92 12/18   0.67  2/18   0.11  341.75  0/12   0.00 |   0.700  0.600   0.65  0.343   1.89     12    0.290     20
157         900 |     7.77     0.00     0.00    -3.10    -2.13    13.00     0.00 | 15/17   0.88  8   0.47  6/15   0.40  219.87 13/17   0.76  0/17   0.00  273.38  2/15   0.13 |   0.690  0.600   0.67  0.371   1.79     12    0.389     20
158        1000 |     7.58     0.00     0.00    -2.60    -2.82    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  169.54 13/17   0.76  0/17   0.00  245.00  0/13   0.00 |   0.675  0.688   0.69  0.388   1.79     12    0.474     16
159         100 |     3.58     0.00     0.00    -3.63    -2.79    10.00     0.00 | 12/20   0.60 12   0.60  4/12   0.33  255.00 10/20   0.50  6/20   0.30  225.20  2/12   0.17 |   0.700  0.600   0.74  0.371   2.00     12    0.179     20
160         200 |     7.10     0.00     0.00    -1.53    -3.37    12.00     0.00 | 12/18   0.67  6   0.33  0/12   0.00  112.42 12/18   0.67  0/18   0.00  320.33  0/12   0.00 |   0.680  0.600   0.62  0.362   1.72     11    0.473     15
161         300 |     6.32     0.00     0.00    -3.08    -3.59    13.00     0.00 | 13/17   0.76  7   0.41  4/13   0.31  194.77 13/17   0.76  0/17   0.00  367.15  0/13   0.00 |   0.747  0.474   0.66  0.340   1.94     10    0.333     19
162         400 |     5.06     0.00     0.00    -2.92    -3.02    11.00     0.00 | 11/19   0.58  9   0.47  2/11   0.18  152.36 11/19   0.58  0/19   0.00  263.64  0/11   0.00 |   0.722  0.611   0.53  0.337   1.56     12    0.281     18
163         500 |     8.70     0.00     0.00    -1.90    -3.40    14.00     0.00 | 14/16   0.88  4   0.25  3/14   0.21  144.50 14/16   0.88  0/16   0.00  296.21  0/14   0.00 |   0.730  0.550   0.48  0.286   1.67     11    0.435     20
164         600 |     6.97     0.00     0.00    -3.28    -2.75    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  166.46 13/17   0.76  0/17   0.00  332.85  0/13   0.00 |   0.750  0.550   0.55  0.314   1.76     11    0.348     20
165         700 |     6.25     0.00     0.00    -3.68    -2.06    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  154.17 12/18   0.67  0/18   0.00  316.83  0/12   0.00 |   0.747  0.632   0.57  0.320   1.78     12    0.329     19
166         800 |     8.84     0.00     0.00    -2.60    -2.56    14.00     0.00 | 14/16   0.88  6   0.38  4/14   0.29  172.00 14/16   0.88  0/16   0.00  246.86  0/14   0.00 |   0.678  0.611   0.69  0.358   1.94     12    0.491     18
167         900 |     6.75     0.00     0.00    -2.60    -2.65    12.00     0.00 | 12/18   0.67  8   0.44  2/12   0.17  148.92 12/18   0.67  2/18   0.11  258.08  0/12   0.00 |   0.637  0.688   0.68  0.412   1.66     11    0.422     16
168        1000 |     5.64     0.00     0.00    -2.17    -3.20    11.00     0.00 | 11/19   0.58  8   0.42  1/11   0.09  116.27 11/19   0.58  0/19   0.00  355.45  0/11   0.00 |   0.706  0.647   0.50  0.333   1.50     12    0.332     17
169         100 |     5.66     0.00     0.00    -3.10    -2.24    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  159.82 11/19   0.58  0/19   0.00  260.27  0/11   0.00 |   0.726  0.579   0.47  0.300   1.57     12    0.298     19
170         200 |     6.35     0.00     0.00    -2.60    -3.05    12.00     0.00 | 14/18   0.78  8   0.44  4/14   0.29  206.21 12/18   0.67  0/18   0.00  275.92  2/14   0.14 |   0.730  0.550   0.61  0.343   1.78     12    0.318     20
171         300 |     7.49     0.00     0.00    -1.53    -3.98    13.00     0.00 | 13/17   0.76  5   0.29  1/13   0.08  148.23 13/17   0.76  0/17   0.00  370.85  0/13   0.00 |   0.747  0.474   0.50  0.270   1.85      9    0.394     19
172         400 |     8.01     0.00     0.00    -2.10    -2.89    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  142.92 13/17   0.76  2/17   0.12  245.31  0/13   0.00 |   0.675  0.688   0.61  0.376   1.62     12    0.500     16
173         500 |     6.79     0.00     0.00    -4.10    -2.11    13.00     0.00 | 13/17   0.76  9   0.53  6/13   0.46  196.62 13/17   0.76  0/17   0.00  218.31  0/13   0.00 |   0.733  0.611   0.69  0.347   2.00     12    0.377     18
174         600 |     5.46     0.00     0.00    -2.65    -2.89    11.00     0.00 | 11/19   0.58  9   0.47  2/11   0.18  130.36 11/19   0.58  2/19   0.11  281.55  0/11   0.00 |   0.643  0.786   0.80  0.440   1.82     11    0.390     14
175         700 |     5.77     0.00     0.00    -3.88    -2.35    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  164.92 12/18   0.67  0/18   0.00  314.58  0/12   0.00 |   0.760  0.600   0.44  0.286   1.53     12    0.289     20
176         800 |     7.04     0.00     0.00    -3.57    -2.40    13.00     0.00 | 13/17   0.76  9   0.53  5/13   0.38  193.31 13/17   0.76  0/17   0.00  272.85  0/13   0.00 |   0.611  0.632   0.83  0.410   2.02     12    0.370     19
177         900 |     5.08     0.00     0.00    -3.07    -2.85    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  155.64 11/19   0.58  0/19   0.00  261.27  0/11   0.00 |   0.711  0.556   0.77  0.379   2.03     11    0.282     18
178        1000 |     5.20     0.00     0.00    -4.05    -2.75    12.00     0.00 | 12/18   0.67 10   0.56  5/12   0.42  197.67 12/18   0.67  4/18   0.22  280.17  0/12   0.00 |   0.678  0.667   0.92  0.432   2.12     12    0.289     18
179         100 |     5.78     0.00     0.00    -2.98    -3.24    12.00     0.00 | 12/18   0.67  8   0.44  3/12   0.25  174.92 12/18   0.67  2/18   0.11  260.67  0/12   0.00 |   0.671  0.647   0.73  0.378   1.94     12    0.340     17
180         200 |     7.87     0.00     0.00    -2.10    -3.04    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  159.62 13/17   0.76  0/17   0.00  280.77  0/13   0.00 |   0.779  0.579   0.48  0.280   1.71     12    0.414     19
181         300 |     4.67     0.00     0.00    -3.13    -2.20    10.00     0.00 | 12/20   0.60 11   0.55  3/12   0.25  163.17 10/20   0.50  4/20   0.20  270.00  2/12   0.17 |   0.760  0.550   0.50  0.286   1.73     11    0.234     20
182         400 |     5.02     0.00     0.00    -2.98    -4.00    12.00     0.00 | 12/18   0.67  8   0.44  3/12   0.25  218.00 12/18   0.67  2/18   0.11  257.33  0/12   0.00 |   0.635  0.647   0.91  0.433   2.10     11    0.295     17
183         500 |     7.99     0.00     0.00    -2.60    -2.42    13.00     0.00 | 13/17   0.76  7   0.41  3/13   0.23  161.00 13/17   0.76  2/17   0.12  246.08  0/13   0.00 |   0.684  0.579   0.54  0.330   1.64     12    0.420     19
184         600 |     6.52     0.00     0.00    -3.77    -2.71    13.00     0.00 | 13/17   0.76  8   0.47  4/13   0.31  204.77 13/17   0.76  4/17   0.24  319.31  0/13   0.00 |   0.700  0.600   0.63  0.343   1.83     12    0.326     20
185         700 |     5.84     0.00     0.00    -2.02    -4.14    12.00     0.00 | 12/18   0.67  6   0.33  1/12   0.08  137.92 12/18   0.67  0/18   0.00  301.75  0/12   0.00 |   0.682  0.706   0.64  0.367   1.76     12    0.344     17
186         800 |     3.59     0.00     0.00    -3.67    -2.74    10.00     0.00 | 12/20   0.60 11   0.55  3/12   0.25  213.75 10/20   0.50  4/20   0.20  247.10  2/12   0.17 |   0.670  0.550   0.93  0.410   2.28     11    0.180     20
187         900 |     7.30     0.00     0.00    -2.10    -3.60    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  164.00 13/17   0.76  0/17   0.00  333.54  0/13   0.00 |   0.695  0.632   0.67  0.380   1.76     12    0.384     19
188        1000 |     7.06     0.00     0.00    -2.07    -3.88    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  166.69 13/17   0.76  0/17   0.00  300.54  0/13   0.00 |   0.722  0.611   0.65  0.368   1.77     12    0.392     18
189         100 |     8.10     0.00     0.00    -2.10    -2.80    13.00     0.00 | 15/17   0.88  6   0.35  4/15   0.27  185.53 13/17   0.76  0/17   0.00  259.46  2/15   0.13 |   0.710  0.600   0.55  0.324   1.71     12    0.405     20
190         200 |     3.94     0.00     0.00    -4.13    -2.92    11.00     0.00 | 13/19   0.68 11   0.58  5/13   0.38  252.38 11/19   0.58  2/19   0.11  253.45  2/13   0.15 |   0.690  0.550   0.78  0.390   2.00     12    0.197     20
191         300 |     5.66     0.00     0.00    -2.63    -2.71    11.00     0.00 | 11/19   0.58  9   0.47  1/11   0.09  142.73 11/19   0.58  4/19   0.21  261.73  0/11   0.00 |   0.642  0.632   0.67  0.380   1.76     12    0.298     19
192         400 |     5.97     0.00     0.00    -3.67    -3.36    13.00     0.00 | 13/17   0.76  8   0.47  4/13   0.31  181.62 13/17   0.76  2/17   0.12  318.92  0/13   0.00 |   0.740  0.550   0.52  0.286   1.83     12    0.299     20
193         500 |     6.43     0.00     0.00    -4.13    -3.44    14.00     0.00 | 14/16   0.88  6   0.38  4/14   0.29  169.64 14/16   0.88  2/16   0.12  274.64  0/14   0.00 |   0.684  0.579   0.59  0.330   1.79     11    0.338     19
194         600 |     6.05     0.00     0.00    -3.10    -2.85    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  185.00 12/18   0.67  0/18   0.00  262.50  0/12   0.00 |   0.663  0.632   0.74  0.380   1.95     12    0.318     19
195         700 |     5.22     0.00     0.00    -4.10    -1.68    11.00     0.00 | 11/19   0.58 12   0.63  4/11   0.36  176.27 11/19   0.58  2/19   0.11  365.18  0/11   0.00 |   0.737  0.579   0.57  0.330   1.73     12    0.275     19
196         800 |     4.78     0.00     0.00    -3.73    -2.49    11.00     0.00 | 13/19   0.68 11   0.58  6/13   0.46  279.15 11/19   0.58  2/19   0.11  213.55  2/13   0.15 |   0.660  0.600   0.79  0.390   2.02     12    0.239     20
197         900 |     6.76     0.00     0.00    -3.10    -2.15    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  161.17 12/18   0.67  2/18   0.11  238.75  0/12   0.00 |   0.689  0.667   0.67  0.389   1.73     12    0.375     18
198        1000 |     8.52     0.00     0.00    -1.57    -2.92    13.00     0.00 | 13/17   0.76  5   0.29  1/13   0.08  114.77 13/17   0.76  0/17   0.00  318.85  0/13   0.00 |   0.760  0.600   0.47  0.305   1.53     12    0.426     20
199         100 |     6.75     0.00     0.00    -2.07    -3.19    12.00     0.00 | 12/18   0.67  7   0.39  1/12   0.08  135.92 12/18   0.67  0/18   0.00  311.00  0/12   0.00 |   0.730  0.600   0.51  0.333   1.54     12    0.337     20
200         200 |     6.73     0.00     0.00    -1.57    -3.71    12.00     0.00 | 12/18   0.67  6   0.33  0/12   0.00  123.58 12/18   0.67  0/18   0.00  329.58  0/12   0.00 |   0.722  0.611   0.57  0.347   1.64     12    0.374     18
201         300 |     5.26     0.00     0.00    -3.07    -2.68    11.00     0.00 | 11/19   0.58 10   0.53  2/11   0.18  150.45 11/19   0.58  2/19   0.11  298.82  0/11   0.00 |   0.694  0.588   0.64  0.356   1.81     12    0.309     17
202         400 |     5.84     0.00     0.00    -3.08    -3.08    12.00     0.00 | 12/18   0.67  8   0.44  3/12   0.25  159.92 12/18   0.67  0/18   0.00  269.75  0/12   0.00 |   0.635  0.706   0.83  0.433   1.92     12    0.343     17
203         500 |     5.24     0.00     0.00    -2.03    -3.73    11.00     0.00 | 11/19   0.58  8   0.42  0/11   0.00  135.73 11/19   0.58  0/19   0.00  312.91  0/11   0.00 |   0.700  0.611   0.54  0.347   1.55     11    0.291     18
204         600 |     6.53     0.00     0.00    -3.10    -2.37    12.00     0.00 | 14/18   0.78  8   0.44  4/14   0.29  166.93 12/18   0.67  2/18   0.11  225.25  2/14   0.14 |   0.720  0.600   0.66  0.333   1.97     12    0.327     20
205         700 |     6.13     0.00     0.00    -3.10    -2.77    12.00     0.00 | 12/18   0.67  9   0.50  3/12   0.25  187.25 12/18   0.67  2/18   0.11  258.75  0/12   0.00 |   0.562  0.750   0.79  0.482   1.63     12    0.383     16
206         800 |     4.60     0.00     0.00    -3.02    -3.39    11.00     0.00 | 13/19   0.68  8   0.42  3/13   0.23  175.77 11/19   0.58  0/19   0.00  264.55  2/13   0.15 |   0.740  0.550   0.50  0.295   1.68     11    0.230     20
207         900 |     5.18     0.00     0.00    -2.60    -3.22    11.00     0.00 | 11/19   0.58  9   0.47  1/11   0.09  146.55 11/19   0.58  2/19   0.11  263.09  0/11   0.00 |   0.700  0.625   0.71  0.400   1.76     11    0.324     16
208        1000 |     7.55     0.00     0.00    -2.07    -3.38    13.00     0.00 | 13/17   0.76  6   0.35  2/13   0.15  156.15 13/17   0.76  0/17   0.00  296.31  0/13   0.00 |   0.740  0.550   0.52  0.305   1.72     11    0.378     20
209         100 |     6.74     0.00     0.00    -2.77    -3.50    13.00     0.00 | 13/17   0.76  7   0.41  4/13   0.31  177.00 13/17   0.76  2/17   0.12  344.62  0/13   0.00 |   0.750  0.600   0.52  0.314   1.67     12    0.337     20
210         200 |     8.38     0.00     0.00    -2.05    -3.57    14.00     0.00 | 14/16   0.88  4   0.25  3/14   0.21  143.79 14/16   0.88  0/16   0.00  306.79  0/14   0.00 |   0.758  0.632   0.49  0.290   1.69     12    0.441     19
211         300 |     4.55     0.00     0.00    -2.60    -2.85    10.00     0.00 | 10/20   0.50 10   0.50  0/10   0.00  113.90 10/20   0.50  0/20   0.00  322.20  0/10   0.00 |   0.680  0.667   0.61  0.375   1.63     11    0.304     15
212         400 |     6.23     0.00     0.00    -2.67    -4.11    13.00     0.00 | 13/17   0.76  6   0.35  4/13   0.31  188.62 13/17   0.76  2/17   0.12  273.08  0/13   0.00 |   0.647  0.706   0.82  0.400   2.06     12    0.366     17
